product_number,name,description,price,category_name,category_id,parent_category_id,variant,manufacturer,tag
P0000444,Product 444,Description of Product 444,270.14,Toys,1005,1005,Color:Black;Size:XL,Panasonic,Gadgets;Furniture
P0000445,Product 445,Description of Product 445,848.89,Kitchen,1003,1002,Color:Brown;Size:S;Material:Wood,Samsung,Living Room;Furniture
P0000446,Product 446,Description of Product 446,134.38,Electronics,1001,1003,Color:Brown;Size:XL,Samsung,Electronics;Furniture
P0000447,Product 447,Description of Product 447,485.34,Kitchen,1003,1003,Color:Brown;Size:L;Material:Wood,Samsung,Gadgets;Smartphones
P0000448,Product 448,Description of Product 448,670.05,Home Appliances,1002,1002,Color:Red;Size:M;Voltage:220V,Sony,Electronics;Smartphones
P0000449,Product 449,Description of Product 449,771.14,Home Appliances,1002,1001,Color:White;Size:L;Voltage:110V,Panasonic,Kitchen;Utensils
P0000450,Product 450,Description of Product 450,512.32,Electronics,1001,1001,Color:Brown;Size:XL,Samsung,Living Room;Kitchen
P0000451,Product 451,Description of Product 451,983.89,Electronics,1001,1002,Color:Black;Size:M,Philips,Gadgets;Living Room
P0000452,Product 452,Description of Product 452,980.4,Kitchen,1003,1001,Color:Red;Size:M;Material:Plastic,Philips,Electronics;Furniture
P0000453,Product 453,Description of Product 453,328.21,Home Appliances,1002,1002,Color:White;Size:L;Voltage:220V,Ikea,Kitchen;Smartphones
P0000454,Product 454,Description of Product 454,770.5,Kitchen,1003,1002,Color:Red;Size:S;Material:Wood,LG,Gadgets;Kitchen
P0000455,Product 455,Description of Product 455,457.97,Home Appliances,1002,1005,Color:White;Size:XL;Voltage:110V,Ikea,Living Room;Gadgets
P0000456,Product 456,Description of Product 456,876.45,Furniture,1004,1001,Color:Red;Size:L;Material:Steel,Philips,Utensils;Furniture
P0000457,Product 457,Description of Product 457,957.97,Books,1006,,Color:Blue;Size:XL,Panasonic,Utensils;Furniture
P0000458,Product 458,Description of Product 458,22.52,Kitchen,1003,1003,Color:White;Size:M;Material:Steel,LG,Electronics;Kitchen
P0000459,Product 459,Description of Product 459,226.42,Furniture,1004,1004,Color:Black;Size:S;Material:Plastic,LG,Smartphones;Electronics
P0000460,Product 460,Description of Product 460,22.74,Electronics,1001,,Color:Brown;Size:L,Philips,Smartphones;Electronics
P0000461,Product 461,Description of Product 461,252.37,Kitchen,1003,,Color:Red;Size:L;Material:Plastic,Sony,Home;Gadgets
P0000462,Product 462,Description of Product 462,361.29,Toys,1005,1002,Color:Brown;Size:M,Sony,Furniture;Kitchen
P0000463,Product 463,Description of Product 463,806.62,Electronics,1001,1001,Color:Red;Size:M,Ikea,Furniture;Electronics
P0000464,Product 464,Description of Product 464,907.73,Kitchen,1003,1004,Color:White;Size:M;Material:Plastic,Philips,Gadgets;Kitchen
P0000465,Product 465,Description of Product 465,312.98,Electronics,1001,1001,Color:Red;Size:L,Ikea,Furniture;Home
P0000466,Product 466,Description of Product 466,860.29,Books,1006,1001,Color:Black;Size:XL,LG,Kitchen;Home
P0000467,Product 467,Description of Product 467,632.45,Kitchen,1003,1002,Color:Black;Size:XL;Material:Plastic,LG,Gadgets;Living Room
P0000468,Product 468,Description of Product 468,438.25,Books,1006,,Color:Black;Size:M,LG,Living Room;Electronics
P0000469,Product 469,Description of Product 469,864.92,Furniture,1004,1005,Color:Blue;Size:M;Material:Plastic,Ikea,Kitchen;Electronics
P0000470,Product 470,Description of Product 470,421.01,Books,1006,1004,Color:Red;Size:XL,Ikea,Living Room;Utensils
P0000471,Product 471,Description of Product 471,470.98,Furniture,1004,1003,Color:Red;Size:L;Material:Steel,Philips,Living Room;Smartphones
P0000472,Product 472,Description of Product 472,29.69,Home Appliances,1002,1005,Color:Black;Size:S;Voltage:110V,Ikea,Furniture;Gadgets
P0000473,Product 473,Description of Product 473,926.16,Toys,1005,1004,Color:White;Size:XL,Samsung,Home;Kitchen
P0000474,Product 474,Description of Product 474,319.94,Books,1006,,Color:Brown;Size:XL,Sony,Smartphones;Electronics
P0000475,Product 475,Description of Product 475,230.35,Books,1006,,Color:Red;Size:S,Sony,Electronics;Smartphones
P0000476,Product 476,Description of Product 476,701.62,Furniture,1004,1001,Color:Black;Size:M;Material:Plastic,LG,Utensils;Gadgets
P0000477,Product 477,Description of Product 477,152.12,Toys,1005,1001,Color:Brown;Size:XL,Philips,Home;Utensils
P0000478,Product 478,Description of Product 478,24.79,Kitchen,1003,,Color:Blue;Size:XL;Material:Plastic,Sony,Living Room;Furniture
P0000479,Product 479,Description of Product 479,278.75,Kitchen,1003,,Color:White;Size:S;Material:Wood,Samsung,Kitchen;Electronics
P0000480,Product 480,Description of Product 480,247.29,Home Appliances,1002,,Color:Red;Size:XL;Voltage:220V,Panasonic,Furniture;Electronics
P0000481,Product 481,Description of Product 481,234.66,Books,1006,1003,Color:Blue;Size:L,Philips,Kitchen;Furniture
P0000482,Product 482,Description of Product 482,67.26,Home Appliances,1002,1003,Color:Brown;Size:M;Voltage:110V,Panasonic,Furniture;Smartphones
P0000483,Product 483,Description of Product 483,815.36,Kitchen,1003,,Color:Red;Size:S;Material:Plastic,Samsung,Smartphones;Electronics
P0000484,Product 484,Description of Product 484,927.84,Kitchen,1003,1002,Color:White;Size:XL;Material:Steel,LG,Living Room;Furniture
P0000485,Product 485,Description of Product 485,787.79,Home Appliances,1002,1004,Color:White;Size:M;Voltage:110V,Philips,Home;Utensils
P0000486,Product 486,Description of Product 486,778.24,Furniture,1004,1002,Color:White;Size:L;Material:Wood,LG,Electronics;Smartphones
P0000487,Product 487,Description of Product 487,737.06,Books,1006,1005,Color:Red;Size:S,Ikea,Electronics;Utensils
P0000488,Product 488,Description of Product 488,229.86,Kitchen,1003,,Color:Blue;Size:S;Material:Wood,Sony,Home;Gadgets
P0000489,Product 489,Description of Product 489,618.79,Kitchen,1003,1003,Color:Red;Size:S;Material:Wood,Sony,Furniture;Home
P0000490,Product 490,Description of Product 490,515.39,Electronics,1001,1003,Color:Blue;Size:S,Philips,Kitchen;Gadgets
P0000491,Product 491,Description of Product 491,885.9,Furniture,1004,1004,Color:Red;Size:M;Material:Wood,Panasonic,Home;Furniture
P0000492,Product 492,Description of Product 492,594.0,Books,1006,1005,Color:Black;Size:S,Samsung,Home;Smartphones
P0000493,Product 493,Description of Product 493,299.88,Electronics,1001,1001,Color:Brown;Size:M,Ikea,Home;Furniture
P0000494,Product 494,Description of Product 494,509.75,Home Appliances,1002,1002,Color:Brown;Size:M;Voltage:220V,Sony,Kitchen;Electronics
P0000495,Product 495,Description of Product 495,300.38,Toys,1005,1005,Color:Brown;Size:XL,LG,Utensils;Living Room
P0000496,Product 496,Description of Product 496,210.83,Toys,1005,1003,Color:Blue;Size:M,Philips,Smartphones;Furniture
P0000497,Product 497,Description of Product 497,576.4,Home Appliances,1002,1001,Color:Blue;Size:XL;Voltage:220V,LG,Gadgets;Furniture
P0000498,Product 498,Description of Product 498,141.8,Toys,1005,1005,Color:Brown;Size:L,LG,Kitchen;Furniture
P0000499,Product 499,Description of Product 499,634.95,Toys,1005,1003,Color:Red;Size:XL,Sony,Gadgets;Furniture
P0000500,Product 500,Description of Product 500,474.95,Furniture,1004,1001,Color:Black;Size:S;Material:Steel,Philips,Utensils;Living Room
P0000501,Product 501,Description of Product 501,249.2,Electronics,1001,1005,Color:Black;Size:S,Philips,Furniture;Kitchen
P0000502,Product 502,Description of Product 502,181.28,Books,1006,1001,Color:Red;Size:XL,Panasonic,Living Room;Utensils
P0000503,Product 503,Description of Product 503,100.83,Books,1006,1004,Color:Red;Size:M,Philips,Smartphones;Gadgets
P0000504,Product 504,Description of Product 504,78.97,Electronics,1001,1002,Color:Brown;Size:M,Ikea,Furniture;Utensils
P0000505,Product 505,Description of Product 505,263.13,Toys,1005,1001,Color:Blue;Size:XL,Philips,Smartphones;Utensils
P0000506,Product 506,Description of Product 506,781.33,Furniture,1004,1005,Color:White;Size:M;Material:Steel,Panasonic,Utensils;Gadgets
P0000507,Product 507,Description of Product 507,736.19,Electronics,1001,1001,Color:Brown;Size:XL,Sony,Kitchen;Electronics
P0000508,Product 508,Description of Product 508,14.58,Electronics,1001,,Color:Brown;Size:M,LG,Furniture;Smartphones
P0000509,Product 509,Description of Product 509,530.36,Kitchen,1003,1003,Color:Blue;Size:L;Material:Steel,Sony,Furniture;Kitchen
P0000510,Product 510,Description of Product 510,435.72,Home Appliances,1002,,Color:Red;Size:M;Voltage:220V,Ikea,Electronics;Living Room
P0000511,Product 511,Description of Product 511,515.63,Books,1006,1005,Color:Brown;Size:M,LG,Kitchen;Utensils
P0000512,Product 512,Description of Product 512,740.16,Kitchen,1003,1004,Color:Red;Size:M;Material:Wood,Panasonic,Kitchen;Utensils
P0000513,Product 513,Description of Product 513,259.3,Books,1006,1002,Color:Blue;Size:XL,Samsung,Living Room;Home
P0000514,Product 514,Description of Product 514,254.0,Toys,1005,1004,Color:White;Size:XL,Sony,Kitchen;Home
P0000515,Product 515,Description of Product 515,267.02,Furniture,1004,1001,Color:Red;Size:XL;Material:Wood,Panasonic,Utensils;Living Room
P0000516,Product 516,Description of Product 516,355.09,Home Appliances,1002,1002,Color:White;Size:L;Voltage:220V,Ikea,Electronics;Living Room
P0000517,Product 517,Description of Product 517,163.61,Home Appliances,1002,1002,Color:White;Size:XL;Voltage:110V,Philips,Smartphones;Utensils
P0000518,Product 518,Description of Product 518,636.48,Electronics,1001,1003,Color:Brown;Size:M,Ikea,Gadgets;Furniture
P0000519,Product 519,Description of Product 519,374.51,Electronics,1001,1001,Color:White;Size:S,Ikea,Electronics;Home
P0000520,Product 520,Description of Product 520,209.92,Books,1006,1003,Color:Red;Size:L,Ikea,Home;Furniture
P0000521,Product 521,Description of Product 521,275.9,Toys,1005,1004,Color:White;Size:L,Samsung,Furniture;Kitchen
P0000522,Product 522,Description of Product 522,94.72,Furniture,1004,1003,Color:Red;Size:XL;Material:Steel,Philips,Utensils;Smartphones
P0000523,Product 523,Description of Product 523,247.38,Kitchen,1003,1003,Color:White;Size:S;Material:Plastic,Panasonic,Living Room;Electronics
P0000524,Product 524,Description of Product 524,131.23,Furniture,1004,1001,Color:Red;Size:M;Material:Plastic,Panasonic,Home;Smartphones
P0000525,Product 525,Description of Product 525,34.82,Home Appliances,1002,,Color:Red;Size:XL;Voltage:110V,Philips,Kitchen;Utensils
P0000526,Product 526,Description of Product 526,233.86,Books,1006,1002,Color:Red;Size:XL,Philips,Kitchen;Utensils
P0000527,Product 527,Description of Product 527,897.26,Kitchen,1003,1002,Color:Brown;Size:S;Material:Plastic,Samsung,Kitchen;Living Room
P0000528,Product 528,Description of Product 528,976.04,Furniture,1004,1003,Color:Blue;Size:S;Material:Wood,Samsung,Utensils;Furniture
P0000529,Product 529,Description of Product 529,956.8,Kitchen,1003,1004,Color:Brown;Size:XL;Material:Plastic,Samsung,Electronics;Utensils
P0000530,Product 530,Description of Product 530,643.58,Furniture,1004,1003,Color:Blue;Size:S;Material:Wood,Philips,Smartphones;Utensils
P0000531,Product 531,Description of Product 531,361.33,Toys,1005,,Color:Black;Size:S,LG,Electronics;Smartphones
P0000532,Product 532,Description of Product 532,780.1,Books,1006,1003,Color:White;Size:S,Sony,Living Room;Kitchen
P0000533,Product 533,Description of Product 533,935.03,Kitchen,1003,,Color:Brown;Size:L;Material:Wood,Panasonic,Utensils;Electronics
P0000534,Product 534,Description of Product 534,331.87,Kitchen,1003,1004,Color:White;Size:S;Material:Plastic,Sony,Furniture;Gadgets
P0000535,Product 535,Description of Product 535,637.63,Toys,1005,1003,Color:Red;Size:M,Panasonic,Electronics;Living Room
P0000536,Product 536,Description of Product 536,937.05,Furniture,1004,1001,Color:White;Size:M;Material:Steel,Philips,Living Room;Smartphones
P0000537,Product 537,Description of Product 537,310.9,Furniture,1004,1002,Color:Red;Size:S;Material:Wood,Panasonic,Kitchen;Electronics
P0000538,Product 538,Description of Product 538,566.84,Kitchen,1003,1004,Color:Red;Size:L;Material:Wood,LG,Furniture;Home
P0000539,Product 539,Description of Product 539,526.02,Books,1006,1003,Color:Blue;Size:M,LG,Furniture;Electronics
P0000540,Product 540,Description of Product 540,843.74,Electronics,1001,1005,Color:White;Size:S,Sony,Electronics;Kitchen
P0000541,Product 541,Description of Product 541,880.47,Kitchen,1003,1002,Color:Blue;Size:XL;Material:Wood,LG,Living Room;Furniture
P0000542,Product 542,Description of Product 542,747.34,Toys,1005,1003,Color:White;Size:L,Samsung,Utensils;Electronics
P0000543,Product 543,Description of Product 543,212.06,Home Appliances,1002,,Color:Brown;Size:S;Voltage:110V,Philips,Living Room;Smartphones
P0000544,Product 544,Description of Product 544,670.04,Books,1006,1005,Color:Brown;Size:S,Ikea,Smartphones;Furniture
P0000545,Product 545,Description of Product 545,289.5,Books,1006,1002,Color:White;Size:S,Sony,Kitchen;Smartphones
P0000546,Product 546,Description of Product 546,714.43,Electronics,1001,,Color:Red;Size:S,Ikea,Home;Smartphones
P0000547,Product 547,Description of Product 547,533.6,Furniture,1004,1004,Color:Red;Size:L;Material:Steel,Philips,Living Room;Smartphones
P0000548,Product 548,Description of Product 548,981.51,Books,1006,1004,Color:White;Size:XL,Panasonic,Living Room;Utensils
P0000549,Product 549,Description of Product 549,789.37,Furniture,1004,1004,Color:Black;Size:XL;Material:Steel,LG,Living Room;Home
P0000550,Product 550,Description of Product 550,239.99,Books,1006,1003,Color:Black;Size:M,Sony,Furniture;Kitchen
P0000551,Product 551,Description of Product 551,562.2,Home Appliances,1002,1003,Color:Blue;Size:L;Voltage:220V,Philips,Utensils;Electronics
P0000552,Product 552,Description of Product 552,140.47,Toys,1005,1001,Color:Blue;Size:L,Philips,Home;Smartphones
P0000553,Product 553,Description of Product 553,64.43,Toys,1005,,Color:Black;Size:XL,Philips,Furniture;Gadgets
P0000554,Product 554,Description of Product 554,555.18,Furniture,1004,1003,Color:Brown;Size:M;Material:Steel,Panasonic,Home;Living Room
P0000555,Product 555,Description of Product 555,655.57,Furniture,1004,1002,Color:Blue;Size:M;Material:Steel,LG,Smartphones;Gadgets
P0000556,Product 556,Description of Product 556,205.95,Electronics,1001,1003,Color:White;Size:M,Panasonic,Kitchen;Gadgets
P0000557,Product 557,Description of Product 557,510.9,Kitchen,1003,1001,Color:White;Size:XL;Material:Steel,Panasonic,Furniture;Kitchen
P0000558,Product 558,Description of Product 558,343.16,Furniture,1004,1003,Color:Blue;Size:L;Material:Plastic,LG,Electronics;Furniture
P0000559,Product 559,Description of Product 559,520.83,Furniture,1004,1003,Color:Blue;Size:M;Material:Wood,LG,Gadgets;Smartphones
P0000560,Product 560,Description of Product 560,35.85,Books,1006,,Color:Brown;Size:M,Ikea,Home;Kitchen
P0000561,Product 561,Description of Product 561,942.67,Books,1006,1003,Color:Red;Size:S,LG,Electronics;Home
P0000562,Product 562,Description of Product 562,707.64,Electronics,1001,1003,Color:Red;Size:XL,Philips,Home;Gadgets
P0000563,Product 563,Description of Product 563,767.45,Furniture,1004,,Color:Brown;Size:XL;Material:Wood,Panasonic,Home;Furniture
P0000564,Product 564,Description of Product 564,980.95,Electronics,1001,1002,Color:Blue;Size:M,Ikea,Utensils;Kitchen
P0000565,Product 565,Description of Product 565,329.35,Toys,1005,,Color:Black;Size:XL,Panasonic,Electronics;Utensils
P0000566,Product 566,Description of Product 566,857.54,Home Appliances,1002,,Color:Red;Size:L;Voltage:220V,Panasonic,Smartphones;Living Room
P0000567,Product 567,Description of Product 567,217.98,Furniture,1004,1003,Color:White;Size:M;Material:Plastic,Ikea,Utensils;Kitchen
P0000568,Product 568,Description of Product 568,872.9,Home Appliances,1002,1002,Color:Blue;Size:L;Voltage:110V,Panasonic,Gadgets;Electronics
P0000569,Product 569,Description of Product 569,146.38,Electronics,1001,1002,Color:Black;Size:S,LG,Living Room;Home
P0000570,Product 570,Description of Product 570,363.75,Kitchen,1003,1001,Color:Black;Size:M;Material:Steel,Philips,Kitchen;Utensils
P0000571,Product 571,Description of Product 571,350.46,Kitchen,1003,1001,Color:Brown;Size:XL;Material:Wood,Samsung,Utensils;Living Room
P0000572,Product 572,Description of Product 572,699.96,Electronics,1001,1002,Color:White;Size:L,Panasonic,Utensils;Gadgets
P0000573,Product 573,Description of Product 573,216.52,Electronics,1001,1004,Color:White;Size:L,Philips,Kitchen;Furniture
P0000574,Product 574,Description of Product 574,706.04,Books,1006,1001,Color:Red;Size:XL,Sony,Gadgets;Furniture
P0000575,Product 575,Description of Product 575,939.6,Kitchen,1003,1004,Color:Black;Size:L;Material:Plastic,Sony,Living Room;Smartphones
P0000576,Product 576,Description of Product 576,709.52,Toys,1005,1005,Color:White;Size:M,Samsung,Gadgets;Kitchen
P0000577,Product 577,Description of Product 577,308.32,Electronics,1001,1001,Color:Red;Size:L,Sony,Furniture;Gadgets
P0000578,Product 578,Description of Product 578,435.62,Furniture,1004,1003,Color:Blue;Size:M;Material:Steel,Panasonic,Smartphones;Gadgets
P0000579,Product 579,Description of Product 579,205.51,Kitchen,1003,,Color:Black;Size:M;Material:Steel,Panasonic,Smartphones;Home
P0000580,Product 580,Description of Product 580,88.2,Home Appliances,1002,1002,Color:Brown;Size:L;Voltage:220V,Sony,Electronics;Gadgets
P0000581,Product 581,Description of Product 581,220.97,Books,1006,1002,Color:Blue;Size:M,LG,Furniture;Living Room
P0000582,Product 582,Description of Product 582,559.92,Home Appliances,1002,1002,Color:Brown;Size:XL;Voltage:220V,Samsung,Smartphones;Utensils
P0000583,Product 583,Description of Product 583,768.47,Books,1006,1001,Color:Black;Size:L,Ikea,Living Room;Gadgets
P0000584,Product 584,Description of Product 584,619.7,Furniture,1004,,Color:Red;Size:M;Material:Plastic,Philips,Electronics;Furniture
P0000585,Product 585,Description of Product 585,67.95,Furniture,1004,1001,Color:Red;Size:L;Material:Wood,Panasonic,Home;Kitchen
P0000586,Product 586,Description of Product 586,115.69,Furniture,1004,1004,Color:Brown;Size:M;Material:Wood,Ikea,Smartphones;Furniture
P0000587,Product 587,Description of Product 587,431.26,Toys,1005,1003,Color:Blue;Size:S,LG,Gadgets;Furniture
P0000588,Product 588,Description of Product 588,784.05,Furniture,1004,,Color:Blue;Size:M;Material:Wood,Sony,Living Room;Kitchen
P0000589,Product 589,Description of Product 589,521.3,Home Appliances,1002,,Color:Blue;Size:M;Voltage:110V,LG,Smartphones;Furniture
P0000590,Product 590,Description of Product 590,311.97,Books,1006,1005,Color:Brown;Size:XL,Philips,Gadgets;Utensils
P0000591,Product 591,Description of Product 591,793.92,Toys,1005,1004,Color:White;Size:XL,Philips,Smartphones;Utensils
P0000592,Product 592,Description of Product 592,198.38,Home Appliances,1002,1004,Color:Red;Size:XL;Voltage:220V,LG,Furniture;Kitchen
P0000593,Product 593,Description of Product 593,278.92,Home Appliances,1002,1004,Color:White;Size:S;Voltage:220V,Panasonic,Kitchen;Living Room
P0000594,Product 594,Description of Product 594,702.33,Books,1006,1005,Color:Blue;Size:M,Sony,Furniture;Gadgets
P0000595,Product 595,Description of Product 595,288.15,Home Appliances,1002,1004,Color:Brown;Size:S;Voltage:110V,LG,Kitchen;Utensils
P0000596,Product 596,Description of Product 596,870.86,Toys,1005,1002,Color:Black;Size:XL,Ikea,Furniture;Electronics
P0000597,Product 597,Description of Product 597,283.75,Home Appliances,1002,1003,Color:Black;Size:XL;Voltage:220V,Panasonic,Kitchen;Gadgets
P0000598,Product 598,Description of Product 598,722.69,Home Appliances,1002,1005,Color:Red;Size:S;Voltage:220V,Philips,Furniture;Electronics
P0000599,Product 599,Description of Product 599,54.09,Electronics,1001,,Color:White;Size:XL,Panasonic,Furniture;Electronics
P0000600,Product 600,Description of Product 600,576.37,Electronics,1001,1003,Color:Black;Size:XL,Ikea,Home;Smartphones
P0000601,Product 601,Description of Product 601,172.48,Kitchen,1003,1003,Color:Black;Size:M;Material:Wood,Panasonic,Living Room;Utensils
P0000602,Product 602,Description of Product 602,672.1,Furniture,1004,1003,Color:Brown;Size:XL;Material:Plastic,Sony,Utensils;Gadgets
P0000603,Product 603,Description of Product 603,872.39,Home Appliances,1002,1004,Color:Black;Size:L;Voltage:110V,Philips,Home;Gadgets
P0000604,Product 604,Description of Product 604,270.17,Books,1006,1001,Color:Brown;Size:M,Panasonic,Kitchen;Smartphones
P0000605,Product 605,Description of Product 605,801.9,Books,1006,1002,Color:Black;Size:XL,LG,Kitchen;Living Room
P0000606,Product 606,Description of Product 606,354.62,Home Appliances,1002,1001,Color:Brown;Size:S;Voltage:220V,Sony,Electronics;Smartphones
P0000607,Product 607,Description of Product 607,360.08,Electronics,1001,1003,Color:Blue;Size:XL,Panasonic,Electronics;Utensils
P0000608,Product 608,Description of Product 608,950.7,Furniture,1004,1004,Color:Brown;Size:L;Material:Wood,Panasonic,Home;Furniture
P0000609,Product 609,Description of Product 609,621.96,Home Appliances,1002,1005,Color:Brown;Size:S;Voltage:220V,Samsung,Furniture;Utensils
P0000610,Product 610,Description of Product 610,670.8,Electronics,1001,1004,Color:White;Size:M,Philips,Kitchen;Electronics
P0000611,Product 611,Description of Product 611,821.78,Home Appliances,1002,1001,Color:Blue;Size:S;Voltage:220V,Samsung,Smartphones;Furniture
P0000612,Product 612,Description of Product 612,566.17,Toys,1005,1005,Color:Brown;Size:L,LG,Electronics;Living Room
P0000613,Product 613,Description of Product 613,449.19,Furniture,1004,,Color:White;Size:S;Material:Plastic,Sony,Utensils;Smartphones
P0000614,Product 614,Description of Product 614,382.78,Home Appliances,1002,1003,Color:Brown;Size:M;Voltage:110V,Ikea,Home;Living Room
P0000615,Product 615,Description of Product 615,304.38,Electronics,1001,1005,Color:Black;Size:S,Panasonic,Kitchen;Electronics
P0000616,Product 616,Description of Product 616,704.98,Books,1006,1004,Color:White;Size:S,Ikea,Furniture;Utensils
P0000617,Product 617,Description of Product 617,182.75,Home Appliances,1002,1001,Color:Brown;Size:S;Voltage:110V,Samsung,Smartphones;Furniture
P0000618,Product 618,Description of Product 618,783.9,Kitchen,1003,1001,Color:Brown;Size:XL;Material:Steel,Sony,Living Room;Smartphones
P0000619,Product 619,Description of Product 619,318.27,Home Appliances,1002,1003,Color:Black;Size:M;Voltage:110V,Philips,Furniture;Smartphones
P0000620,Product 620,Description of Product 620,189.68,Kitchen,1003,1005,Color:Red;Size:L;Material:Steel,Philips,Electronics;Gadgets
P0000621,Product 621,Description of Product 621,451.34,Toys,1005,1002,Color:Brown;Size:L,Sony,Smartphones;Electronics
P0000622,Product 622,Description of Product 622,554.13,Kitchen,1003,1003,Color:Blue;Size:XL;Material:Wood,Ikea,Smartphones;Gadgets
P0000623,Product 623,Description of Product 623,985.77,Home Appliances,1002,1004,Color:Red;Size:S;Voltage:220V,LG,Utensils;Smartphones
P0000624,Product 624,Description of Product 624,33.51,Books,1006,,Color:Brown;Size:M,Sony,Electronics;Utensils
P0000625,Product 625,Description of Product 625,822.99,Kitchen,1003,1003,Color:Brown;Size:XL;Material:Plastic,LG,Gadgets;Smartphones
P0000626,Product 626,Description of Product 626,661.26,Electronics,1001,1005,Color:Brown;Size:L,Sony,Furniture;Gadgets
P0000627,Product 627,Description of Product 627,955.14,Toys,1005,1004,Color:Red;Size:L,Sony,Utensils;Smartphones
P0000628,Product 628,Description of Product 628,676.81,Home Appliances,1002,1005,Color:Red;Size:M;Voltage:220V,Philips,Kitchen;Smartphones
P0000629,Product 629,Description of Product 629,657.3,Electronics,1001,1002,Color:Brown;Size:L,Philips,Smartphones;Living Room
P0000630,Product 630,Description of Product 630,583.67,Books,1006,1002,Color:Brown;Size:L,Ikea,Kitchen;Electronics
P0000631,Product 631,Description of Product 631,353.58,Furniture,1004,1005,Color:Brown;Size:XL;Material:Wood,Ikea,Smartphones;Electronics
P0000632,Product 632,Description of Product 632,885.76,Home Appliances,1002,1001,Color:Red;Size:M;Voltage:220V,Panasonic,Living Room;Gadgets
P0000633,Product 633,Description of Product 633,308.7,Furniture,1004,1002,Color:Brown;Size:S;Material:Steel,Philips,Utensils;Living Room
P0000634,Product 634,Description of Product 634,881.43,Home Appliances,1002,1003,Color:Brown;Size:L;Voltage:220V,Philips,Kitchen;Furniture
P0000635,Product 635,Description of Product 635,759.92,Electronics,1001,1004,Color:Black;Size:S,Panasonic,Living Room;Smartphones
P0000636,Product 636,Description of Product 636,876.33,Electronics,1001,1003,Color:Blue;Size:XL,Ikea,Home;Utensils
P0000637,Product 637,Description of Product 637,642.7,Furniture,1004,1003,Color:Black;Size:M;Material:Wood,Sony,Furniture;Kitchen
P0000638,Product 638,Description of Product 638,714.02,Furniture,1004,1002,Color:Brown;Size:XL;Material:Plastic,Ikea,Furniture;Kitchen
P0000639,Product 639,Description of Product 639,327.29,Home Appliances,1002,1002,Color:Blue;Size:S;Voltage:220V,Philips,Kitchen;Smartphones
P0000640,Product 640,Description of Product 640,767.08,Books,1006,1005,Color:Brown;Size:XL,Ikea,Smartphones;Home
P0000641,Product 641,Description of Product 641,839.36,Home Appliances,1002,1003,Color:White;Size:XL;Voltage:220V,Sony,Kitchen;Smartphones
P0000642,Product 642,Description of Product 642,503.06,Electronics,1001,1004,Color:White;Size:XL,Samsung,Smartphones;Home
P0000643,Product 643,Description of Product 643,291.18,Electronics,1001,,Color:White;Size:XL,Philips,Smartphones;Home
P0000644,Product 644,Description of Product 644,511.56,Books,1006,1003,Color:Blue;Size:M,Ikea,Smartphones;Utensils
P0000645,Product 645,Description of Product 645,730.19,Electronics,1001,1001,Color:Red;Size:L,Sony,Living Room;Utensils
P0000646,Product 646,Description of Product 646,700.13,Electronics,1001,,Color:Black;Size:XL,Panasonic,Home;Electronics
P0000647,Product 647,Description of Product 647,99.04,Furniture,1004,1003,Color:Brown;Size:M;Material:Steel,Samsung,Gadgets;Furniture
P0000648,Product 648,Description of Product 648,811.26,Books,1006,1002,Color:Brown;Size:M,Philips,Kitchen;Home
P0000649,Product 649,Description of Product 649,250.32,Books,1006,,Color:Black;Size:M,Sony,Living Room;Smartphones
P0000650,Product 650,Description of Product 650,636.95,Kitchen,1003,1001,Color:Black;Size:S;Material:Plastic,Philips,Smartphones;Home
P0000651,Product 651,Description of Product 651,201.76,Kitchen,1003,1001,Color:Brown;Size:L;Material:Steel,LG,Living Room;Smartphones
P0000652,Product 652,Description of Product 652,588.74,Electronics,1001,1004,Color:Brown;Size:S,LG,Home;Smartphones
P0000653,Product 653,Description of Product 653,492.73,Home Appliances,1002,1001,Color:White;Size:S;Voltage:220V,Ikea,Living Room;Home
P0000654,Product 654,Description of Product 654,300.3,Books,1006,1004,Color:Blue;Size:XL,Philips,Gadgets;Furniture
P0000655,Product 655,Description of Product 655,376.85,Home Appliances,1002,,Color:Brown;Size:XL;Voltage:220V,Samsung,Living Room;Furniture
P0000656,Product 656,Description of Product 656,83.6,Toys,1005,1001,Color:Brown;Size:L,Philips,Utensils;Gadgets
P0000657,Product 657,Description of Product 657,737.72,Toys,1005,1003,Color:Black;Size:M,Samsung,Utensils;Furniture
P0000658,Product 658,Description of Product 658,720.26,Furniture,1004,1005,Color:Brown;Size:M;Material:Plastic,LG,Furniture;Electronics
P0000659,Product 659,Description of Product 659,890.58,Books,1006,1004,Color:Black;Size:S,Philips,Living Room;Furniture
P0000660,Product 660,Description of Product 660,621.34,Home Appliances,1002,1003,Color:White;Size:S;Voltage:110V,Sony,Kitchen;Home
P0000661,Product 661,Description of Product 661,230.18,Kitchen,1003,1002,Color:Brown;Size:XL;Material:Plastic,Philips,Utensils;Furniture
P0000662,Product 662,Description of Product 662,624.46,Electronics,1001,1005,Color:Brown;Size:L,Samsung,Electronics;Kitchen
P0000663,Product 663,Description of Product 663,716.44,Home Appliances,1002,1005,Color:Black;Size:M;Voltage:220V,LG,Kitchen;Home
